algoritmo,cenario,n,tempo1_ms,tempo2_ms,tempo3_ms,mediana_ms,razao
Insertion Sort,Aleatória,2000,88.00919999998769,87.79500000014195,88.02639999998974,88.00919999998769,
Merge Sort,Aleatória,2000,4.8752000000149565,4.960700000083307,5.131500000061351,4.960700000083307,
Insertion Sort,Ordenada,2000,0.24089999988063937,0.23200000009637733,0.228099999958431,0.23200000009637733,
Merge Sort,Ordenada,2000,4.240299999992203,4.146600000012768,4.339600000093924,4.240299999992203,
Insertion Sort,Aleatória,4000,358.63289999997505,376.5230999999858,369.4568999999319,369.4568999999319,4.197934988614641
Merge Sort,Aleatória,4000,11.119999999891661,10.579900000038833,10.547000000087792,10.579900000038833,2.1327433628038706
Insertion Sort,Ordenada,4000,0.5234999998720014,0.47419999987141637,0.4794999999830907,0.4794999999830907,2.066810343896108
Merge Sort,Ordenada,4000,9.090799999967203,9.04990000003636,8.9077999998608,9.04990000003636,2.1342593684534115
Insertion Sort,Aleatória,8000,1407.8535000001011,1426.6493999998602,1439.645500000097,1426.6493999998602,3.8614772115505844
Merge Sort,Aleatória,8000,23.46809999994548,22.37990000003265,22.6522999998906,22.6522999998906,2.1410693862708965
Insertion Sort,Ordenada,8000,0.9410999998635816,0.9079000001293025,0.94600000011269,0.9410999998635816,1.9626694471256914
Merge Sort,Ordenada,8000,19.420699999955104,20.194999999830543,19.132299999910174,19.420699999955104,2.1459574138804935
Insertion Sort,Aleatória,16000,5701.17039999991,5786.6842999999335,5638.2401000000755,5701.17039999991,3.996195841809816
Merge Sort,Aleatória,16000,48.361300000124174,48.54119999981776,48.0385999999271,48.361300000124174,2.1349399398894477
Insertion Sort,Ordenada,16000,1.965800000107265,1.847999999881722,1.9205000003239547,1.9205000003239547,2.0406970572758936
Merge Sort,Ordenada,16000,40.39610000018001,40.6119000003855,40.8305000000837,40.6119000003855,2.09116561197482
Insertion Sort,Aleatória,32000,22655.846399999973,22567.61920000008,22804.752899999585,22655.846399999973,3.973893921851613
Merge Sort,Aleatória,32000,102.63910000003307,103.6018999998305,113.76819999986765,103.6018999998305,2.1422480371612114
Insertion Sort,Ordenada,32000,3.7824999999429565,3.9796999999452964,3.8548000002265326,3.8548000002265326,2.007185628521893
Merge Sort,Ordenada,32000,89.08169999995152,93.36209999992207,92.56159999995361,92.56159999995361,2.2791743306537
